"filename", "language", "XML", "C++", "Makefile", "YAML", "comment", "blank", "total"
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/a.out.dSYM/Contents/Info.plist", "XML", 20, 0, 0, 0, 0, 1, 21
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/a.out.dSYM/Contents/Resources/Relocations/aarch64/a.out.yml", "YAML", 0, 0, 0, 1139, 0, 1, 1140
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/functions/auxFunctions.cpp", "C++", 0, 369, 0, 0, 47, 91, 507
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/functions/auxFunctions.hpp", "C++", 0, 73, 0, 0, 0, 12, 85
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/functions/functions.cpp", "C++", 0, 346, 0, 0, 37, 93, 476
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/functions/functions.hpp", "C++", 0, 23, 0, 0, 0, 1, 24
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/main.cpp", "C++", 0, 7, 0, 0, 13, 5, 25
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/makefile", "Makefile", 0, 0, 16, 0, 0, 7, 23
"/Users/kapigoku/Documents/Programación/Learning/AdvCode2023/test.cpp", "C++", 0, 0, 0, 0, 76, 0, 76
"Total", "-", 20, 818, 16, 1139, 173, 211, 2377